WKT,cell_id,NAME,STATE_NAME,contiguity,core_area,disjunct_den,division,Edge Density,gyrate,near_neighbor_dist,Patch Density,Total Edge,total_Class_Area,total_Patch_Area
"POLYGON ((1291565.57939089 2188581.55403144,1293174.92339089 2188581.55403144,1293174.92339089 2186972.21003144,1291565.57939089 2186972.21003144,1291565.57939089 2188581.55403144))",506,Crawford,Pennsylvania,64.5442193096448,222.281385242476,1.52415790275873,0.110256947619773,19.7759487882945,146.620925723767,18.1713254940683,1.90519737844841,5190,254.25,216.215717356495
"POLYGON ((1293174.92339089 2188581.55403144,1294784.26739089 2188581.55403144,1294784.26739089 2186972.21003144,1293174.92339089 2186972.21003144,1293174.92339089 2188581.55403144))",507,Crawford,Pennsylvania,50.8784584618824,132.192186901734,2.24466891133558,0.656853155573694,40.4040404040404,85.8221436606704,16.7613714621834,2.24466891133558,10800,251.1,126.480649142345
"POLYGON ((1294784.26739089 2188581.55403144,1296393.61139089 2188581.55403144,1296393.61139089 2186972.21003144,1294784.26739089 2186972.21003144,1294784.26739089 2188581.55403144))",508,Crawford,Pennsylvania,46.8532050250368,109.365666143469,3.36700336700337,0.71948383951751,48.0359147025814,86.8713131313648,0,2.24466891133558,12840,248.49,106.633168289659
"POLYGON ((1296393.61139089 2188581.55403144,1298002.95539089 2188581.55403144,1298002.95539089 2186972.21003144,1296393.61139089 2186972.21003144,1296393.61139089 2188581.55403144))",509,Crawford,Pennsylvania,99.7634680934977,182.831506951765,1.90519737844841,0.598367927954373,42.1810699588477,137.068744861611,0,3.04831580551745,11070,243.18,177.028268667208
"POLYGON ((1298002.95539089 2188581.55403144,1299612.29939089 2188581.55403144,1299612.29939089 2186972.21003144,1298002.95539089 2186972.21003144,1298002.95539089 2188581.55403144))",510,Crawford,Pennsylvania,70.3116898934753,183.97593228835,7.48222970445193,0.900688138398576,97.979797979798,99.8503824246396,17.2197412976721,8.23045267489712,26190,213.3,159.590775975738
"POLYGON ((1299612.29939089 2188581.55403144,1301221.64339089 2188581.55403144,1301221.64339089 2186972.21003144,1299612.29939089 2186972.21003144,1299612.29939089 2188581.55403144))",511,Crawford,Pennsylvania,91.8681808424128,162.061060103192,7.10811821922933,0.826615197995669,84.3995510662177,112.23246155601,18.0651224995551,5.23756079311635,22560,234,152.778976193329
"POLYGON ((1301221.64339089 2188581.55403144,1302830.98739089 2188581.55403144,1302830.98739089 2186972.21003144,1301221.64339089 2186972.21003144,1301221.64339089 2188581.55403144))",512,Crawford,Pennsylvania,107.458702094174,218.530965702656,2.28623685413809,0.527736145686915,38.8660265203475,144.376752780189,4.11245550197061,3.04831580551745,10200,234.18,206.881286442853
"POLYGON ((1302830.98739089 2188581.55403144,1304440.33139089 2188581.55403144,1304440.33139089 2186972.21003144,1302830.98739089 2186972.21003144,1302830.98739089 2188581.55403144))",513,Crawford,Pennsylvania,75.210522086334,135.607896763694,6.73400673400673,0.942682492716163,80.695847362514,97.0981128798171,58.8039038497021,5.61167227833894,21570,160.38,121.958546975128
"POLYGON ((1304440.33139089 2188581.55403144,1306049.67539089 2188581.55403144,1306049.67539089 2186972.21003144,1304440.33139089 2186972.21003144,1304440.33139089 2188581.55403144))",514,Crawford,Pennsylvania,93.1422739644191,172.046425411273,1.14311842706904,0.504751468178029,32.9218106995885,117.966129547328,43.0378388586655,1.90519737844841,8640,231.84,164.812284553787
"POLYGON ((1306049.67539089 2188581.55403144,1307659.01939089 2188581.55403144,1307659.01939089 2186972.21003144,1306049.67539089 2186972.21003144,1306049.67539089 2188581.55403144))",515,Crawford,Pennsylvania,110.251844520517,167.593498623769,5.23756079311635,0.640094661542473,57.1268237934905,138.292591584113,37.8172611774911,2.61878039655817,15270,234.09,163.269244847177
"POLYGON ((1307659.01939089 2188581.55403144,1309268.36339089 2188581.55403144,1309268.36339089 2186972.21003144,1307659.01939089 2186972.21003144,1307659.01939089 2188581.55403144))",516,Crawford,Pennsylvania,48.9424837051104,185.667629889531,4.11522633744856,0.634379258352322,65.2076318742985,84.2744890730086,15.5969362088327,2.61878039655817,17430,231.48,167.774624487917
"POLYGON ((1309268.36339089 2188581.55403144,1310877.70739089 2188581.55403144,1310877.70739089 2186972.21003144,1309268.36339089 2186972.21003144,1309268.36339089 2188581.55403144))",517,Crawford,Pennsylvania,56.1595232570051,196.653337970209,6.47767108672458,0.70143322588961,66.5294924554184,88.3374011112864,15.5110072531942,3.81039475689681,17460,236.34,172.611291482488
"POLYGON ((1310877.70739089 2188581.55403144,1312487.05139089 2188581.55403144,1312487.05139089 2186972.21003144,1310877.70739089 2186972.21003144,1310877.70739089 2188581.55403144))",518,Crawford,Pennsylvania,57.665465842286,169.161880099487,2.61878039655817,0.48428006212518,44.2199775533109,87.883991002981,18.1713254940683,1.87055742611298,11820,249.84,156.189096710449
"POLYGON ((1312487.05139089 2188581.55403144,1314096.39539089 2188581.55403144,1314096.39539089 2186972.21003144,1312487.05139089 2186972.21003144,1312487.05139089 2188581.55403144))",519,Crawford,Pennsylvania,83.0813815830394,141.42135623731,0.374111485222596,0.0564181659467853,17.7328843995511,128.398143494376,0,0.748222970445193,4740,260.01,141.029742928241
"POLYGON ((1314096.39539089 2188581.55403144,1315705.73939089 2188581.55403144,1315705.73939089 2186972.21003144,1314096.39539089 2186972.21003144,1314096.39539089 2188581.55403144))",520,Crawford,Pennsylvania,44.8670981113516,146.799656070206,4.57247370827618,0.702610096887519,58.0704160951075,71.6179642008764,15.5969362088327,2.66727632982777,15240,239.31,132.445626754765
